Year,Group,Team,Host,DefendingChampion,FIFARank,Pot1,Points,Result,Advanced,,1MOpponent,1M_Points,1M_RankDif,1M_AgP1,2MOpponent,2M_Points,2M_RankDif,2M_AgP1,3MOpponent,3M_Points,3M_RankDif,3M_AgP1
1998,A,Brazil,0,1,1,1,6,2,1,,Scotland,3,40,0,Morocco,3,12,0,Norway,0,6,0
1998,A,Norway,0,0,7,0,5,16,1,,Morocco,1,6,0,Scotland,1,34,0,Brazil,3,-6,1
1998,A,Morocco,0,0,13,0,4,32,0,,Norway,1,-6,0,Brazil,0,-12,1,Scotland,3,28,0
1998,A,Scotland,0,0,41,0,1,32,0,,Brazil,0,-40,1,Norway,1,-34,0,Morocco,0,-28,0
1998,B,Italy,0,0,14,1,7,8,1,,Chile,1,-5,0,Cameroon,3,35,0,Austria,3,17,0
1998,B,Chile,0,0,9,0,3,16,1,,Italy,1,5,1,Austria,1,22,0,Cameroon,1,40,0
1998,B,Austria,0,0,31,0,2,32,0,,Cameroon,1,18,0,Chile,1,-22,0,Italy,0,-17,1
1998,B,Cameroon,0,0,49,0,2,32,0,,Austria,1,-18,0,Italy,0,-35,1,Chile,1,-40,0
1998,C,France,1,0,18,1,9,1,1,,South Africa,3,6,0,Saudi Arabia,3,16,0,Denmark,3,9,0
1998,C,Denmark,0,0,27,0,4,8,1,,Saudi Arabia,3,7,0,South Africa,1,-3,0,France,0,-9,1
1998,C,South Africa,0,0,24,0,2,32,0,,France,0,-6,1,Denmark,1,3,0,Saudi Arabia,1,10,0
1998,C,Saudi Arabia,0,0,34,0,1,32,0,,Denmark,0,-7,0,France,0,-16,1,South Africa,1,-10,0
1998,D,Nigeria,0,0,74,0,6,16,1,,Spain,3,-59,1,Bulgaria,3,-39,0,Paraguay,0,-45,0
1998,D,Paraguay,0,0,29,0,5,16,1,,Bulgaria,1,6,0,Spain,1,-14,1,Nigeria,3,45,0
1998,D,Spain,0,0,15,1,4,32,0,,Nigeria,0,59,0,Paraguay,1,14,0,Bulgaria,3,20,0
1998,D,Bulgaria,0,0,35,0,1,32,0,,Paraguay,1,-6,0,Nigeria,0,39,0,Spain,0,-20,1
1998,E,Netherlands,0,0,25,1,5,4,1,,Belgium,1,11,0,Korea Republic,3,-5,0,Mexico,1,-21,0
1998,E,Mexico,0,0,4,0,5,16,1,,Korea Republic,3,16,0,Belgium,1,32,0,Netherlands,1,21,1
1998,E,Belgium,0,0,36,0,3,32,0,,Netherlands,1,-11,1,Mexico,1,-32,0,Korea Republic,1,-16,0
1998,E,Korea Republic,0,0,20,0,1,32,0,,Mexico,0,-16,0,Netherlands,0,5,1,Belgium,1,16,0
1998,F,Germany,0,0,2,1,7,8,1,,USA,3,9,0,FR Yugoslavia,1,6,0,Iran,3,40,0
1998,F,FR Yugoslavia,0,0,8,0,7,16,1,,Iran,3,34,0,Germany,1,-6,1,USA,3,3,0
1998,F,Iran,0,0,42,0,3,32,0,,FR Yugoslavia,0,-34,0,USA,3,-31,0,Germany,0,-40,1
1998,F,USA,0,0,11,0,0,32,0,,Germany,0,-9,1,Iran,0,31,0,FR Yugoslavia,0,-3,0
1998,G,Romania,0,0,22,1,7,16,1,,Colombia,3,-12,0,England,3,-17,0,Tunisia,1,-1,0
1998,G,England,0,0,5,0,6,16,1,,Tunisia,3,16,0,Romania,0,17,1,Colombia,3,5,0
1998,G,Colombia,0,0,10,0,3,32,0,,Romania,0,12,1,Tunisia,3,11,0,England,0,-5,0
1998,G,Tunisia,0,0,21,0,1,32,0,,England,0,-16,0,Colombia,0,-11,0,Romania,1,1,1
1998,H,Argentina,0,0,6,1,9,8,1,,Japan,3,6,0,Jamaica,3,24,0,Croatia,3,13,0
1998,H,Croatia,0,0,19,0,6,3,1,,Jamaica,3,11,0,Japan,3,-7,0,Argentina,0,-13,1
1998,H,Jamaica,0,0,30,0,3,32,0,,Croatia,0,-11,0,Argentina,0,-24,1,Japan,3,-18,0
